"V1","V2"
-3.37561542,3.63236314
-3.61882807,3.78627892
-3.48552993,0.46412084
-2.42218394,2.10177698
-2.12723525,2.14297321
0.6567975,-0.35124534
-3.76973366,1.68852318
-5.24100452,3.57586724
-2.28942852,-0.05719774
0.28644941,1.03304162
2.99777064,-3.12754341
0.74667392,-0.84667259
-3.11912358,1.10497638
0.84785715,-0.39979595
-3.45861131,1.62690878
-0.95558769,0.38827836
0.9919285,-0.28263728
1.01232387,-1.34715454
-3.20489151,1.07389313
-2.36721138,0.51325149
-3.13059114,0.68658501
1.38853038,-1.44534224
-3.47605575,1.55634797
-2.24359887,2.22319431
-2.08693672,-0.71354126
-3.09338393,3.18669685
2.26070197,-2.63380536
-2.31314596,2.1979188
1.30169471,-1.5823328
-2.55390925,-0.18424666
-2.8053755,2.42770675
-3.06239916,0.44613626
-2.97878409,2.74404093
1.67789035,-1.21011559
1.23224336,-1.18379025
1.16891723,-0.78612502
1.37189035,-1.80000232
-2.90271238,2.97746914
0.71725629,-0.55564951
-3.66733753,1.92105823
-4.46835124,2.4485411
-2.93715042,0.9856219
-2.76927061,2.30600487
-3.24114338,3.09983226
0.67380601,0.06895652
-2.54655855,0.2365876
0.16384138,0.19415583
-3.76487665,1.27124291
-2.7249366,2.3077221
-1.78485712,0.94452663
-1.71667612,1.42764624
-2.88789454,3.13449773
-3.12531253,1.20708442
-3.55313766,1.13228811
-3.60012184,4.32578379
0.87093145,-0.83496971
-2.8713608,0.62102323
-3.60421365,4.13436568
-2.09707281,1.71168171
-3.35928853,3.05304248
-2.17783311,1.98249644
-3.88590032,1.72593062
-2.27421548,3.01131334
1.83074119,-1.64230428
-2.19552766,2.34273918
-2.74197966,2.80017403
-3.08999899,0.79133539
1.03829203,-0.51028406
-3.08104055,2.8630693
-2.31362859,2.69406819
-2.58894028,2.40560378
-3.25566883,3.12660903
-2.97868732,3.10820347
1.58510513,-1.81648435
-2.92568834,0.79662968
-2.16842415,2.44035785
