"V1","V2"
5.86749807,8.17715188
5.61369982,9.93295527
7.22508428,10.44886194
6.76282255,0.60514535
8.0161824,1.54314701
8.40185356,-0.37348132
6.51192277,9.81342902
7.3996796,0.91258881
-4.98436335,-11.42227525
9.88825096,0.90241392
8.80002143,8.54323521
7.95311372,8.36897664
6.10846066,8.23343995
8.33975514,8.88814957
8.88361084,9.01589874
-6.66843698,-9.35707168
-5.13904428,-10.14831195
-6.91620365,-11.32959632
7.03443241,9.69736738
-5.94667064,-11.18065009
7.10596355,2.13514572
-4.6002087,-10.48989837
8.24840842,8.2829127
8.95362407,9.48903417
8.33023435,0.86213005
6.43491959,9.97416094
7.82565387,1.48837997
8.18534006,1.38526735
8.26307524,-0.34462228
7.95023361,0.71606892
7.41395263,-0.04571563
7.33654329,2.19316367
6.79615877,1.59413349
7.26697254,9.87045836
-5.028964,-10.02858605
7.70035004,8.34107187
9.81588309,2.28665042
6.69627652,0.36084219
7.26946955,10.98320369
-2.98192028,-9.7861173
7.30944772,-0.7325594
6.73982636,10.11672427
6.1669192,2.86843288
8.11297308,1.28564488
8.06262929,0.34332689
8.26429201,2.10957826
7.78224005,8.55083151
9.19377268,10.26786712
10.4077775,-0.00484173601
-6.31113348,-9.8097422
-6.08472442,-9.84547838
7.75931516,9.12963513
-4.67324955,-10.10521635
7.68626222,-0.04255056
6.03671254,0.7102468
6.10723361,1.73010257
-5.68729619,-10.89346944
5.10927201,1.20527745
7.14171604,0.10311542
8.21079341,9.62231376
7.01119899,-0.07676504
-6.46722956,-10.54197227
6.55329103,1.1125205
8.68209647,1.9484429
7.27775514,10.76824835
7.28116753,0.15848042
7.24831298,8.09462266
8.99387985,2.20376815
7.92647817,2.56345709
-6.1530142,-10.11924514
-6.60207486,-8.05007911
7.98301059,9.85753553
6.91511696,8.64812384
-5.12867983,-8.8346284
6.15895483,8.70208685
8.70097261,0.25831399
6.71024387,-1.33268282
7.82958178,8.89779121
9.68246216,9.31157492
-5.97442773,-9.30950852
8.81875827,11.0276883
8.85658233,9.52204043
9.00618568,1.30299323
7.04808181,-0.58901574
8.81439223,11.14310633
7.82510107,8.41865266
-5.19423723,-8.94543345
7.79910797,-0.25289982
7.56833386,9.32443309
8.33778986,1.73539439
7.36682812,0.0664572
6.16028044,0.62227019
7.14515901,0.91467501
8.22475844,2.50005316
7.20652794,-0.46579308
7.04187234,0.0101886
6.25773234,9.49643174
-5.1990338,-9.39978469
-6.04828954,-8.42777846
-4.15416009,-9.01216975
8.18240421,8.16999978
-5.22174608,-9.92662529
6.07074949,9.84640299
8.3865564,8.82577962
8.17992562,0.33058828
7.4489446,0.54249592
6.02545232,8.30623923
-5.91272285,-9.95424904
8.18904696,10.59029235
-5.12344329,-9.37405985
-4.82544187,-7.66673929
9.94109903,9.22395667
5.93856024,0.69310129
8.70035504,0.26106737
-4.33097826,-10.03088205
8.29608805,1.92276612
7.65102673,9.73916943
7.21257564,8.61737126
-3.89818466,-10.20406592
5.71705294,8.807722
6.97422822,9.55896816
9.62122205,0.92542315
5.75956354,0.92605334
6.73029873,0.05457561
7.72747059,9.03918815
5.67821089,1.00108477
-5.27291003,-11.20966792
8.38608513,2.09662621
7.38017969,8.53076823
-5.70240716,-10.78917397
7.77138681,0.89793865
-4.93673487,-9.19100116
7.45272055,9.41241034
7.14424337,8.88917421
6.08360927,2.29431447
5.03449421,0.85802499
-5.1244247,-9.8439447
-4.00415456,-8.4281614
8.60199727,8.32658889
7.55901182,10.5408694
5.59011036,9.91187864
-5.94725124,-8.53880949
7.00058641,0.13933607
8.92409688,1.08377822
6.17476741,9.21297745
-5.00322704,-9.41696154
7.93829078,-0.25623821
-5.023068,-9.99945856
8.4633234,0.60267266
6.79443998,1.8022496
10.39883958,0.05521905
-5.07604146,-9.35184619
8.22943304,8.7633443
7.9243513,-0.12168356
8.20420692,9.31490436
7.57226813,0.50294282
6.48363666,9.31032935
8.43277037,-0.84976843
7.69820697,0.79958784
7.42382381,8.67836021
