"V1","V2"
0.59945663,0.24694133
0.5173267,0.57255303
0.55229185,0.40567924
0.14642048,0.86805623
0.11232805,0.13946816
0.14924817,0.03941051
0.85773185,0.89170839
0.12256361,0.46156875
0.39318463,0.12615389
0.86439266,0.86406747
0.74081836,0.1665658
0.26362964,0.19230422
0.83246856,0.4676186
0.15044623,0.01009517
0.27851061,0.97413056
0.03169087,0.91145153
0.05794042,0.67177025
0.34969693,0.45549843
0.2211388,0.33852586
0.30810614,0.70890027
0.87125358,0.40931658
0.8162211,0.01154924
0.78769767,0.52595381
0.8337289,0.22404063
0.3767429,0.69770858
0.84842039,0.47831657
0.84636004,0.54831934
0.99137103,0.90471117
0.38562791,0.95548263
0.76534181,0.52550272
0.9910432,0.69498333
0.19460689,0.11403676
0.26211576,0.73550223
0.55044682,0.39715133
0.75842952,0.02378743
0.81357508,0.74826798
0.18020271,0.38902314
0.03760018,0.01178774
0.99626787,0.48819666
0.37202476,0.19617209
0.80719225,0.70575272
0.0015562,0.77122667
0.11148275,0.94863268
0.33273608,0.45110278
0.00498091,0.82439269
0.30816825,0.55644688
0.9266008,0.15622238
0.86732961,0.50023893
0.92445617,0.82235505
0.44298003,0.08871177
0.03019745,0.87423081
0.47428492,0.66369491
0.88164841,0.30465899
0.89576302,0.02753244
0.27992568,0.8117664
0.85322032,0.9448354
0.30301127,0.78023559
0.9851303,0.52700602
0.25259629,0.03896232
0.75965306,0.13884538
0.38694261,0.30927788
0.41685067,0.90599899
0.42594776,0.91274431
0.80540086,0.28837833
0.31808902,0.36984422
0.60564719,0.67406252
0.97222984,0.92651606
0.61187172,0.04623878
0.54530762,0.40364022
0.54477873,0.04017637
0.99576221,0.05695837
0.27267993,0.07212403
0.54761111,0.3518183
0.37529984,0.78916752
0.90402012,0.16569698
0.27897694,0.47272862
0.11288167,0.38653808
0.30208805,0.92197634
0.19853412,0.7212114
0.21589321,0.62565838
0.58199073,0.45872429
0.8169073,0.22271719
0.47728022,0.9824176
0.18326179,0.54543245
0.29310578,0.12380606
0.85159298,0.57767884
0.57882926,0.54533474
0.18446811,0.56863317
0.09138901,0.68264187
0.05145717,0.18915112
0.2942178,0.27893122
0.81210229,0.28775064
0.0739579,0.06798269
0.14941352,0.3941919
0.19681423,0.23502236
0.18397566,0.2987354
0.50485873,0.97134707
0.79199044,0.1725207
0.80285069,0.71009303
0.90579841,0.43470673
0.86709868,0.69809025
0.27309258,0.38977615
0.83847859,0.80771228
0.24550597,0.83627389
0.94575707,0.87776946
0.38128803,0.5411618
0.84596064,0.71640043
0.70910494,0.28525146
0.61080189,0.05446112
0.2971474,0.20278887
0.38701457,0.73822959
0.26054113,0.17891509
0.84203568,0.91509796
0.4462166,0.24449777
0.2523659,0.41617989
0.80244294,0.56148168
0.57733595,0.97815732
0.0776752,0.47501339
0.4794023,0.55397398
0.16794024,0.16892215
0.41544856,0.60621726
0.30280253,0.4975192
0.98675727,0.03043102
0.46586729,0.4739047
0.69180639,0.26640012
0.79993407,0.40099342
0.09516239,0.6300605
0.02639314,0.71680219
0.0121403,0.5966702
0.87089198,0.69840843
0.62434375,0.43179113
0.33619552,0.37029552
0.37502642,0.52988363
0.14333008,0.88188194
0.62587554,0.37443623
0.98221216,0.87252754
0.60681619,0.37174882
0.36909386,0.06670673
0.34252097,0.24568423
0.60855112,0.72016349
0.29242481,0.5461475
0.78707964,0.64190381
0.74366131,0.21807969
0.63504989,0.27378431
0.23075059,0.27093728
0.36652551,0.47094042
0.22926144,0.3499635
0.89649672,0.13462691
0.21572406,0.06069269
0.70888113,0.52941071
0.47432034,0.03441518
0.96134267,0.84407736
0.82037411,0.87521748
0.77702516,0.13943757
0.97149243,0.93371847
0.69607711,0.29201068
0.00111111,0.48586177
0.59480347,0.99398132
0.13291504,0.0888201
0.42631844,0.75095622
0.34007033,0.66236025
0.88943839,0.79316199
0.10159586,0.44607533
0.03799265,0.16863832
0.77071103,0.17409313
0.55881405,0.61497849
0.15663634,0.91482216
0.05850185,0.91923459
0.11379939,0.90086998
0.36789093,0.78984079
0.39423764,0.73315648
0.85239076,0.52543888
0.40213957,0.39463264
0.05659176,0.01481572
0.74357013,0.41539948
0.15109277,0.871537
0.63777173,0.47450445
0.35698499,0.34474633
0.37142028,0.88655434
0.37860413,0.01931643
