"V1","V2"
-0.67799938,-0.69875698
0.93143746,0.19139133
0.54829131,-0.00601715
0.87283692,0.37502332
0.4354272,-0.29472638
-0.53625331,-0.16347081
0.93553399,-0.06995024
0.15921936,0.97141494
-0.61154731,0.75141844
0.42304031,-0.26812539
0.1731466,-0.45836261
-0.2191253,-0.39884899
0.09610893,-0.51960193
-0.1044859,0.94207685
0.96768689,-0.17418264
0.75424228,-0.62161732
-0.04399565,-0.53198652
0.43036519,-0.35516538
-1.02780734,0.15532507
-0.22854775,0.38252868
0.0717577,0.98900042
0.65580337,-0.812775
0.75849046,0.6296178
-0.86665552,-0.49784081
-0.52003482,0.07219044
0.39490869,0.22152949
-0.48014055,-0.09875426
-0.1842177,-0.92175526
0.10159623,0.52472653
-0.14061516,-0.42006189
0.30541826,-0.30583569
-0.85026052,0.50258332
-0.52093336,-0.01049194
0.15763672,0.5233382
-0.4341888,0.02391809
0.31651251,-0.39452463
-0.60359543,-0.67522979
0.12092122,-0.96969341
-0.69946141,-0.70014508
-0.82981274,0.38449738
-0.4501348,-0.28503001
0.34289141,-0.45551041
0.53181387,0.03143083
0.73847684,-0.65793767
-0.61545742,0.76849757
-0.37875174,-0.89304299
-0.46928727,0.17061915
0.94051602,-0.34508136
0.28056444,0.31842525
-0.3754628,-0.38724181
0.51335631,0.24978617
-0.46177408,-0.22413823
0.05318313,-0.94877075
0.07080838,-0.38003212
-0.16007201,-0.89515101
-0.02748724,-0.55454924
0.91289376,-0.34249029
-0.44138945,-0.89076359
0.45478989,0.0328087
-0.50664359,0.08048229
-0.73467731,-0.66644587
0.86084928,0.55475079
-0.45670731,0.22155711
-0.33115415,0.9691661
0.03534944,0.46665545
-0.00886699,0.5164052
-0.31281125,-1.01686818
-0.33171806,-0.43931294
-0.75368966,-0.64223175
-0.54662732,0.0798964
0.9148855,0.08766081
-0.94663642,-0.59391178
0.40706803,0.1082819
-0.40957947,0.29354415
0.41897852,0.87114316
-0.07967334,-0.95906422
0.02227055,0.49202368
-0.12844488,1.03403789
0.29612881,0.92740037
0.22144766,-0.37274265
0.4232692,-0.21243441
-0.92434737,-0.35127117
-0.60562863,-0.7151642
-0.76567581,-0.72886212
0.33807338,0.37280271
-0.42844122,0.8072827
0.33368634,-0.26315356
-0.52409212,-0.84899345
-0.03860908,-0.99567953
-0.98452587,0.04695092
0.21034033,-0.98542399
0.00888553,-0.99603239
-0.65949866,0.59458244
0.97192635,0.22489397
-0.35367693,-0.23519579
-0.05782502,-0.5663468
0.87163374,-0.6331807
-0.3214639,0.93136779
0.98481673,0.28100316
0.08716696,0.52927004
-0.3882767,0.19373897
0.17964829,-0.49759088
0.55141619,0.87300675
0.05704517,0.49779571
-0.57383221,0.03336156
0.0746919,0.57981949
-0.95295791,0.3254813
-0.73291423,-0.52806854
0.24881987,-0.95667076
-0.51100898,0.18019599
-0.01596677,1.03727049
0.96124538,0.08725649
0.92457666,0.38065735
0.69458853,0.58479686
-0.16839613,-0.48670475
0.11285593,0.45566437
0.90595695,0.23571553
-0.19336012,-0.38014973
0.42858446,0.27926742
-0.12980839,-1.00686475
0.84934744,0.43345476
0.95817226,-0.40716542
-0.68462931,-0.69864152
-0.30369809,-0.93591026
-0.60507092,-0.87011202
-0.17177522,0.50455301
-0.94108678,-0.36349901
-1.02689523,-0.17661271
0.25177364,-0.37520989
-0.0392333,0.50823654
0.59862728,0.16147524
0.15025326,0.46793585
-0.15806255,0.99367202
-0.17448421,-0.49093637
0.79735265,-0.57080179
-0.8802382,0.58165627
0.24848313,0.97532133
-0.76443896,0.64096008
-0.55515695,0.2229308
0.39857687,-0.87590784
-0.90820519,0.40728488
0.53988648,-0.84520326
0.16211575,0.44091804
0.48171495,0.11685281
-0.04945458,0.97307236
-1.09495311,-0.02659195
0.08176136,-0.88249152
-0.93589313,0.37865529
0.39756117,-0.16995446
0.97401591,0.05928181
-0.85468739,0.65992743
-0.46895707,-0.28284222
0.98010411,0.24993145
0.08694333,0.51364278
0.54195717,0.14444784
-0.01993543,0.41195679
0.4952787,-0.18458498
-0.99296946,0.07216449
-0.04509438,0.46916685
0.90935063,-0.44918574
-0.22559785,-0.473253
0.86510907,-0.49642749
-0.22725341,0.99742945
-0.46106027,-0.17974972
0.25463401,-0.39179629
0.16234906,0.39920545
-0.54737168,0.19930762
0.43287455,-0.2889952
-0.83889816,0.39556174
0.98517786,0.19754944
-0.86602779,-0.50254969
0.50785064,0.17382884
0.38095888,-0.2122323
-0.08469062,1.01647157
-0.22287163,0.39723993
-0.90058218,-0.47454008
0.2372917,0.83008261
-0.46233428,-0.95849117
0.29450686,-0.3924235
0.6606063,-0.68009921
-0.85268707,0.54944013
-0.30709766,0.85980365
0.98649684,-0.28605273
1.07288971,-0.01478169
0.34705058,-0.95204093
0.79205676,0.62289168
0.85637412,-0.65935223
0.71664315,0.73913146
-0.94982196,-0.41382993
0.43908356,0.97304948
-0.90144324,0.47357459
-0.41767925,-0.29220366
-0.40166344,0.23049041
-0.77045902,-0.62469278
0.10464939,-0.41905697
-0.35199242,0.92547552
-0.46188477,0.08105434
0.77615641,0.56341733
-0.60945272,0.77612392
-0.8698256,0.61102988
-0.93634264,-0.25039613
0.94764064,0.19518874
0.17200054,0.50550543
0.67084706,0.72233666
-0.12818027,0.38263025
0.08494333,0.97097318
0.50243216,0.83691127
-0.76582026,-0.59835288
0.26778269,-0.95326142
-0.13696323,0.50581718
0.52632949,0.0069738
0.0337775,-1.00228729
1.06064631,0.04541291
0.50093871,-0.05941985
-0.44059233,-0.18696234
-0.72503654,-0.67023216
-0.25929523,-0.39569938
0.35699406,0.30250164
0.41126883,-0.86553417
-0.45959509,0.1270224
0.18755683,0.5035663
0.35099003,0.9627135
0.94657818,-0.21125518
0.5993368,-0.8425065
-0.18697383,-1.05728764
-0.78194074,-0.51819164
0.50437716,-0.11243761
-0.42495783,-0.13191512
-0.98804667,-0.29039342
0.58373757,0.76240313
0.90561642,-0.19190385
0.12291519,-0.47836661
0.32118443,-0.3807304
0.92529327,-0.45289175
0.17757025,-0.93205106
0.28504696,0.42362817
-0.50698505,-0.11050519
0.48275569,-0.08360394
-0.30891709,1.03590503
-0.48619062,-0.0793736
-0.10944785,0.48373464
0.92704157,0.37261478
-0.22708752,0.39641194
0.19485565,-0.43176832
0.80712687,0.41015338
-0.48703872,-0.19796748
-0.01596418,-0.48381571
-0.27520348,-0.9550659
-0.32238421,0.29998778
-0.68030238,0.68672023
0.30008347,-0.20903387
0.76879864,-0.65910572
-0.31612056,0.84176144
-0.10047782,0.44161681
-0.3173505,0.46319053
-0.16853313,-0.52466014
-0.21037209,0.9101823
0.3804726,-0.30115442
1.05920926,-0.23832976
-0.43766807,0.26065118
-0.91812667,-0.62561544
0.66126326,-0.59286249
0.20828077,0.51171748
-0.86246955,0.56069254
-0.35717525,-0.25345833
0.41958719,-0.86285689
0.07545578,-0.49975937
-0.11288583,0.49523926
-0.94711722,0.11554632
-0.38608586,-0.09342571
0.39738119,-0.35828301
0.58620067,-0.03984123
0.37332307,-0.21107742
0.52341075,-0.31383671
-0.30292985,0.39280179
-0.37347481,-0.97274148
-0.53574366,-0.11134412
0.03046007,0.95275496
-0.83372645,0.6235284
0.33040228,-0.41552392
0.19818274,-0.41787396
0.41915799,-0.22080721
0.24325438,-0.48081799
-0.16416393,0.44786301
-0.35643045,0.31611341
0.96067343,-0.53256219
-0.21700948,0.39924889
-0.18297673,-0.96820359
-0.4868611,0.00107001
-0.99820072,0.2857697
-0.25856614,-0.34894539
1.00140107,-0.08375278
