"V1","V2"
0.49627131,-0.34275349
-0.16629956,0.92234209
0.71895601,0.66529038
-0.33784004,0.91207431
0.10376847,0.11694588
0.70280408,0.66771976
-0.6149035,0.88168423
0.6678349,-0.45681471
0.80343919,0.76841857
0.43451943,0.83354826
-0.4515259,0.86768789
0.57317888,-0.41343333
1.56641699,-0.44018606
1.39625769,-0.35363529
1.01196918,-0.56296438
1.07186614,-0.03392873
-0.06770489,0.98593655
1.7396364,-0.17303883
0.21444148,-0.12879012
0.98429197,-0.46951291
1.99886699,0.3494414
1.1320095,-0.54860557
0.08251082,0.98959594
0.71368616,-0.49989853
-1.03617969,0.38909278
0.47508227,-0.36999018
0.18580061,0.95263759
0.11973086,0.02240609
1.99365507,0.4454781
0.63744582,0.74790066
1.06819621,-0.4822781
-0.14847353,1.05031276
0.38680677,0.98065737
-0.17867141,0.94045045
1.28225842,-0.39634268
-0.98032628,0.100863
1.98737731,0.46447659
0.12674758,-0.1123731
0.44439379,-0.29178263
0.61501311,0.72449528
-0.90785554,0.5152064
0.00688954,0.97148912
1.81550077,0.00544187
1.97381122,0.3168839
0.88813884,-0.55786708
0.01316943,1.01493028
1.95863743,0.15444575
0.46626893,0.87914384
0.42397682,0.98857222
0.66998377,0.78933273
0.54995554,0.8267603
0.65288104,0.67893857
0.16762013,0.12402488
2.02198308,0.28936702
2.03631181,0.39212278
-0.70530412,0.80220944
0.72172124,-0.44684713
-1.05725224,0.28887134
0.53873819,0.70798815
-0.73045334,0.64125519
-0.0850584,1.04061692
0.4465168,0.81757547
0.89536662,0.41427448
0.2990423,-0.12188192
0.34081451,-0.26888578
0.64034345,-0.42510672
-0.10482055,0.87474455
1.02580755,0.03087138
1.50008337,-0.38837959
1.05855658,-0.48687146
0.15314264,0.14390596
0.6988317,0.73274983
0.337857,1.00180556
0.58237582,0.7797311
0.51663064,0.90824205
-0.01216073,0.54971681
0.37741528,-0.20937716
0.39830741,0.87607977
0.07960872,0.40701684
0.93214581,0.25311442
0.39030422,-0.20908166
-0.54891865,0.77536949
0.60176122,-0.47230967
0.33016425,-0.21482123
1.87019758,0.07326591
0.23989762,-0.05102835
-0.17353571,1.00931847
0.59613649,-0.40031938
0.57352126,-0.35260526
2.05651567,0.16941015
0.60828263,0.7683494
0.00909415,0.9438349
0.94072214,0.28064549
0.46097506,-0.39629306
1.5928164,-0.42529363
1.49564416,-0.38119933
1.72136735,-0.13140338
1.57597723,-0.28695985
0.0200877,0.56995922
0.81155065,0.5767021
0.05555015,0.27252349
1.81947455,-0.05458154
1.10355782,-0.45343696
0.40939152,1.02525156
0.73736874,0.75197517
0.8720738,0.50496364
0.78582873,-0.46677134
0.96239196,-0.56411483
-0.11020956,0.95393792
-0.07026843,0.99761446
1.37877401,-0.45857922
1.73832802,-0.38859516
0.63914358,-0.49651483
0.0787859626,-1.82858224e-06
0.04008694,0.09026835
1.57689556,-0.28779669
-0.20091183,1.06332592
0.99838714,0.1445062
0.32351193,-0.12283421
0.26492579,1.01529028
0.10026125,-0.06560249
1.6589304,-0.31757987
1.94750518,0.13175104
0.98386229,-0.48442856
0.15734476,-0.01776486
0.89142112,-0.56434812
1.66091817,-0.35771825
-0.80024362,0.6552242
-0.88739431,0.57242606
0.19267552,-0.20858505
0.43682071,-0.3735815
1.54449181,-0.29262358
0.78185129,0.65067166
-0.97493824,0.42330341
2.05708752,0.44539359
0.10428272,0.13903115
-0.90035956,0.51492618
0.11012292,0.15203961
0.13242755,-0.10030692
1.58899709,-0.31632972
0.63597863,-0.29989754
-0.93190019,0.3938564
0.43926658,-0.44038096
0.14152062,0.10624562
-0.91887019,0.43185603
0.96258657,-0.4318923
-0.21757922,0.99324716
0.8005618,-0.44189529
-1.04042347,0.04710306
1.044428,0.20886548
1.8102651,0.07761265
1.75960356,-0.00913581
0.90223453,0.57882616
-0.01220988,0.40059907
-0.82179534,0.44467987
0.19336289,-0.1733251
1.71310002,-0.29775838
-0.96745199,0.22284037
1.0559054,-0.58919504
0.50437788,0.88708686
0.547195,0.81984131
0.29922649,-0.19367111
1.48753712,-0.37629561
0.83560916,0.51365931
0.65815352,-0.42346087
1.23334168,-0.4173145
0.80914068,0.42095474
0.74632446,0.69330258
0.94912762,0.44507804
1.05458655,0.12527288
0.51790215,0.89020074
1.76882871,-0.05147103
0.20570097,-0.16185408
0.73927137,0.6804023
0.26266724,0.93565512
0.34298278,-0.26014765
1.47591158,-0.40611924
-0.5043637,0.85630539
1.91348404,0.23854163
0.00402296,0.17547212
-0.55424716,0.67436284
0.97043191,0.21319446
0.92801673,0.11463784
1.11442378,-0.50529892
0.41387481,1.03799141
-0.9096512,0.56653697
0.12941711,0.98363959
0.25208664,-0.17306077
2.04695889,0.18112189
