"V1","V2"
-6.11119721,1.47153062
-7.49665361,0.9134251
-10.84489837,-7.55352273
-4.54337725,-2.13568619
-1.91382055,-0.03478043
1.77133522,0.63450827
-9.75157357,-5.2030262
-11.51023635,-4.16284321
-7.72675795,-5.86656563
2.30766086,1.90193184
3.35937539,0.0903521
1.5082732,0.12756972
-8.5554513,-5.035368
2.04930912,0.81264456
-8.81718975,-4.57925634
0.53868059,-3.67882599
2.38706026,1.13918209
1.53395482,-0.16597028
-8.8931498,-5.32749594
-7.03528546,-4.63489973
-9.29099545,-6.11001533
2.0791426,0.18155324
-8.99293921,-4.79926944
-2.54926279,-0.26067116
-8.14569117,-7.00119495
-5.61621106,0.45006307
2.54237599,-0.21381117
-3.23413652,-0.85331245
1.82025767,-0.09822955
-8.82010859,-6.84538977
-6.37859949,-2.49357231
-9.46443677,-6.54065725
-6.50561201,-1.60028741
2.75743143,0.83728652
2.03662422,0.31313445
2.26246836,0.73105833
1.75585915,-0.28257189
-4.89906362,0.33408704
1.70176306,0.45457654
-9.02269473,-4.36569826
-10.81360228,-5.04952533
-8.14779821,-4.87882128
-6.58481662,-3.02855354
-7.20947556,-1.01633716
2.14985095,1.18102123
-8.09421585,-5.77492739
1.40424265,0.70006457
-10.43085067,-6.23408437
-6.20821142,-2.74073331
-4.05419687,-5.38520824
-1.47302347,-1.9395794
-4.12129579,1.40812726
-8.40590106,-4.79557027
-9.95664536,-6.05212389
-5.09283136,4.40224454
1.72512149,0.29752024
-8.53616394,-5.62584391
-5.92450526,3.18030749
-3.45951479,-2.54183704
-8.38897592,-2.0471805
-3.00412263,-1.35399691
-10.07645004,-5.39992425
0.47942808,4.47371896
2.65202558,0.4881142
-1.65056574,0.78692933
-4.29835387,0.23057213
-8.9811043,-5.74665899
2.27462715,0.91257802
-6.86179766,-1.49546299
-1.17086926,2.24460484
-4.66706839,-1.27899578
-7.21895114,-0.93976643
-4.98746175,0.67633323
2.09748208,-0.03665597
-8.42457832,-5.32264664
-1.01795866,1.566443
-2.06941992,1.88577596
1.29870481,1.31066143
2.31497166,0.83185574
-4.28691808,0.24805729
-8.80319678,-5.58624957
-9.37828481,-3.66508058
-4.78489008,-3.59274719
1.57475697,0.79804375
-8.73137198,-4.58696868
1.80189987,0.29909794
2.48699387,0.62551964
-9.45017911,-5.92527749
-9.34512381,-3.5189244
-9.45849879,-4.5221996
2.43604778,-0.72753879
-9.28944463,2.78271554
1.99109756,0.44121789
2.10143852,1.25717336
-7.48437912,0.19274617
-8.86109769,1.14079656
2.36331475,0.44665008
-1.64599999,1.43250035
-3.21545427,-1.01197061
-9.93761365,-3.868098
1.94268188,0.63428437
-6.86709209,-5.7668326
-10.09081077,-5.46953483
-3.46773999,1.29274353
-9.80859618,-6.94302621
1.32821785,0.22660115
-1.64608052,5.91195657
1.82399823,0.20833106
-8.90198359,-6.45154399
-5.12382318,-2.32296762
1.37859306,0.57328188
-10.55614086,-5.97841234
-8.97184028,-6.04211723
-9.25568068,-6.74403162
1.79949384,1.42784629
-0.16838698,-2.64270096
1.77366573,0.44120318
-4.36541652,4.79144539
-3.38687165,0.35757531
-9.9857521,-3.98110375
1.84543536,0.49580936
-6.03276031,4.64132373
2.08034389,1.09932051
-7.61322186,-5.59064355
-3.30541214,-3.02586987
2.31365073,0.65022796
-5.09541401,5.03124546
-3.71055476,-2.8410115
2.56726073,0.2316077
-10.48775261,-4.92309943
-9.62501635,-6.74268055
2.04196184,-0.50367614
-8.54606246,-8.34464531
1.68092057,0.91928804
-1.03268332,0.64423875
-4.72733378,1.9167771
-8.40387719,-4.55445763
2.17096796,0.34989836
1.52692396,0.79272427
-6.85761,-0.29775753
-5.2435406,2.90028554
-3.81265301,3.10273861
-6.53673123,-1.70570261
1.91570658,1.37184076
-2.73517503,-2.57114534
-8.57175762,-4.10354394
2.15097451,-0.28258939
-3.4659025,0.81841647
-9.47339576,-6.61209142
1.57883793,0.24563383
-3.56209535,-4.55330032
-2.17264609,-2.55612762
2.20476224,0.06675489
-9.13383867,-5.14970278
2.70599605,0.24963656
2.29424932,0.22226207
-8.71693852,-5.101672
2.30438023,0.07510716
-8.38476217,-5.70028638
2.63391445,0.14797876
2.25816347,0.34383113
1.73170767,-0.23051813
1.62076342,-0.13588436
1.76988405,0.5808842
-10.76695869,-4.06086843
-8.50973656,-5.54822201
-0.7980963,2.24726144
-9.27536209,-7.83167653
-8.54813623,-4.80053722
-6.39083896,1.25225486
-9.887228,-3.70388985
-7.31258294,-3.98655996
-2.70887804,-2.44237619
2.12272186,0.86712253
-2.28378273,-0.33834904
1.87273379,0.3612541
-8.4561084,-5.29489291
-3.29413096,1.15363855
-5.6875597,-1.32451239
-5.5714303,0.27934648
-12.62433197,-1.72354466
-9.35032028,-6.14099145
1.6663851,0.65117519
-2.50846022,-1.79434621
-8.08102789,0.88030944
-7.79995265,0.22620748
-7.84810621,-6.09251791
-8.55882654,2.33667214
-0.30931517,1.55837129
-0.83194478,-2.06550227
2.21919535,0.19554934
-3.41532207,0.56256023
-8.17417126,-5.08617457
-1.37903001,3.44018618
1.98594915,0.14412379
-8.33696092,-5.96043566
1.68990133,-0.22529729
-4.93620684,1.17430595
-10.4116368,-6.05236638
1.67619747,0.38121473
-8.02594959,-4.10844804
1.86720774,-0.00560038
-10.85841092,0.37948659
-8.39351315,-6.09962728
-7.93429121,-5.19239892
1.55346179,1.2190842
-6.66224559,1.25769682
-8.59343241,-5.4806095
-10.85714671,-5.99525686
-2.60425273,1.78240274
2.52119209,0.51716715
1.61176055,0.78857387
-7.24808188,-1.73825487
-9.34305076,-5.25349023
2.05995895,1.0896915
-5.90044724,1.68259981
-5.47071757,3.81329911
-7.24629314,0.44711174
-7.74193314,-4.78426093
-6.49013882,-4.56460056
1.80651545,0.7131092
1.88266738,0.14026303
-8.92083947,-6.96628503
2.0267989,0.4522863
